,precision,recall,f1-score,support
0,0.7553444180522565,0.8346456692913385,0.7930174563591021,381.0
1,0.48356164383561645,0.6711026615969582,0.5621019108280255,526.0
2,0.3442088091353997,0.4245472837022133,0.3801801801801802,497.0
3,0.32783882783882784,0.3683127572016461,0.34689922480620156,486.0
4,0.3418803418803419,0.3131115459882583,0.3268641470888662,511.0
5,0.20357142857142857,0.11198428290766209,0.1444866920152091,509.0
6,0.14,0.1033210332103321,0.118895966029724,542.0
7,0.15050651230101303,0.2,0.1717588769611891,520.0
8,0.16790490341753342,0.2128060263653484,0.1877076411960133,531.0
9,0.13743218806509946,0.14285714285714285,0.14009216589861753,532.0
10,0.11089494163424124,0.1111111111111111,0.1110029211295034,513.0
11,0.13176895306859207,0.1336996336996337,0.13272727272727275,546.0
12,0.0960591133004926,0.07289719626168224,0.08289054197662062,535.0
13,0.11042944785276074,0.0636042402826855,0.08071748878923768,566.0
14,0.08482142857142858,0.0338680926916221,0.04840764331210191,561.0
15,0.08518518518518518,0.04220183486238532,0.05644171779141104,545.0
16,0.08284023668639054,0.0275049115913556,0.041297935103244844,509.0
17,0.08743169398907104,0.02671118530884808,0.04092071611253197,599.0
18,0.07407407407407407,0.022429906542056073,0.03443328550932568,535.0
19,0.08024691358024691,0.025691699604743084,0.038922155688622756,506.0
20,0.07964601769911504,0.021377672209026127,0.03370786516853932,421.0
21,0.044444444444444446,0.008658008658008658,0.014492753623188408,462.0
22,0.031746031746031744,0.012232415902140673,0.017660044150110375,327.0
23,0.024844720496894408,0.012903225806451613,0.016985138004246284,310.0
24,0.06111111111111111,0.04602510460251046,0.05250596658711217,239.0
25,0.05429864253393665,0.04743083003952569,0.05063291139240506,253.0
26,0.03015075376884422,0.03614457831325301,0.03287671232876712,166.0
27,0.007194244604316547,0.005376344086021506,0.006153846153846154,186.0
28,0.023880597014925373,0.06451612903225806,0.034858387799564274,124.0
29,0.02403846153846154,0.04950495049504951,0.03236245954692557,101.0
30,0.027491408934707903,0.09195402298850575,0.042328042328042326,87.0
31,0.0024691358024691358,0.014084507042253521,0.004201680672268908,71.0
32,0.011990407673860911,0.0847457627118644,0.021008403361344536,59.0
33,0.004405286343612335,0.04878048780487805,0.008080808080808083,41.0
34,0.0021231422505307855,0.038461538461538464,0.004024144869215291,26.0
35,0.009950248756218905,0.20689655172413793,0.018987341772151896,29.0
36,0.003246753246753247,0.09090909090909091,0.006269592476489029,22.0
accuracy,0.1508897861522357,0.1508897861522357,0.1508897861522357,0.1508897861522357
macro avg,0.11997385051368198,0.13033539015847398,0.11451086588697366,13374.0
weighted avg,0.15663822467275035,0.1508897861522357,0.1467558907673695,13374.0
