,precision,recall,f1-score,support
0,0.9322709163346613,0.9397590361445783,0.936,249.0
1,0.9018987341772152,0.858433734939759,0.8796296296296298,332.0
2,0.9493670886075949,0.9782608695652174,0.9635974304068522,230.0
3,0.9246987951807228,0.8924418604651163,0.908284023668639,344.0
4,0.9484848484848485,0.990506329113924,0.9690402476780186,316.0
5,0.965,0.965,0.965,200.0
6,0.9077380952380952,0.8840579710144928,0.895741556534508,345.0
7,0.9938837920489296,0.9908536585365854,0.9923664122137403,328.0
8,0.9754768392370572,0.9808219178082191,0.9781420765027322,365.0
9,0.96,0.97165991902834,0.96579476861167,247.0
10,0.9454545454545454,0.9397590361445783,0.9425981873111783,332.0
11,0.9248826291079812,0.9380952380952381,0.9314420803782506,210.0
12,0.910958904109589,0.9399293286219081,0.9252173913043479,283.0
accuracy,0.9415498545358371,0.9415498545358371,0.9415498545358371,0.9415498545358371
macro avg,0.9415473221524032,0.9438137614983043,0.9425272157107358,3781.0
weighted avg,0.9412822189882598,0.9415498545358371,0.9412528461321993,3781.0
