,precision,recall,f1-score,support
0,0.9448818897637795,0.9876543209876543,0.9657947686116699,243.0
1,0.9389830508474576,0.9326599326599326,0.9358108108108107,297.0
2,0.9473684210526315,0.975,0.9609856262833675,240.0
3,0.9053627760252366,0.9318181818181818,0.9183999999999999,308.0
4,0.9682080924855492,0.9598853868194842,0.9640287769784173,349.0
5,0.9571428571428572,0.9617224880382775,0.9594272076372317,209.0
6,0.9118457300275482,0.9430199430199431,0.927170868347339,351.0
7,0.9841269841269841,0.9717868338557993,0.9779179810725551,319.0
8,0.9056047197640118,0.8924418604651163,0.8989751098096632,344.0
9,0.98,0.98,0.98,300.0
10,0.968944099378882,0.9397590361445783,0.9541284403669725,332.0
11,0.9578947368421052,0.9528795811518325,0.9553805774278215,191.0
12,0.911660777385159,0.8657718120805369,0.8881239242685025,298.0
accuracy,0.9436656969055806,0.9436656969055806,0.9436656969055806,0.9436656969055806
macro avg,0.944771087295554,0.9457230290031796,0.9450880070472577,3781.0
weighted avg,0.9437970200924142,0.9436656969055806,0.9435714175885352,3781.0
