,precision,recall,f1-score,support
0,0.9245283018867925,0.953307392996109,0.9386973180076628,257.0
1,0.9851632047477745,0.9540229885057471,0.9693430656934308,348.0
2,0.9664179104477612,0.9961538461538462,0.9810606060606061,260.0
3,0.9964028776978417,0.9787985865724381,0.9875222816399288,283.0
4,1.0,1.0,1.0,331.0
5,0.9715639810426541,0.9808612440191388,0.9761904761904763,209.0
6,1.0,1.0,1.0,319.0
7,0.996969696969697,0.996969696969697,0.996969696969697,330.0
8,0.9965986394557823,0.9965986394557823,0.9965986394557823,294.0
9,0.9671052631578947,0.98989898989899,0.9783693843594009,297.0
10,0.9779874213836478,0.9367469879518072,0.9569230769230769,332.0
11,0.986784140969163,0.9955555555555555,0.9911504424778761,225.0
12,0.9832775919732442,0.9932432432432432,0.9882352941176471,296.0
accuracy,0.9820153398571806,0.9820153398571806,0.9820153398571806,0.9820153398571806
macro avg,0.9809845407486351,0.9824736285632579,0.9816200216842758,3781.0
weighted avg,0.982212853207977,0.9820153398571806,0.982000961571674,3781.0
