,precision,recall,f1-score,support
0,0.8708487084870848,0.9147286821705426,0.8922495274102079,258.0
1,0.9528023598820059,0.9613095238095238,0.957037037037037,336.0
2,0.9604743083003953,0.9642857142857143,0.9623762376237625,252.0
3,0.9161849710982659,0.9005681818181818,0.9083094555873924,352.0
4,1.0,0.9967948717948718,0.9983948635634029,312.0
5,0.9760765550239234,0.9714285714285714,0.973747016706444,210.0
6,1.0,1.0,1.0,306.0
7,0.94,0.9276315789473685,0.9337748344370861,304.0
8,1.0,1.0,1.0,336.0
9,0.9468085106382979,0.9401408450704225,0.9434628975265018,284.0
10,0.9333333333333333,0.89171974522293,0.9120521172638437,314.0
11,0.9190283400809717,0.9659574468085106,0.941908713692946,235.0
12,1.0,0.9964539007092199,0.9982238010657194,282.0
accuracy,0.9555673102353874,0.9555673102353874,0.9555673102353874,0.9555673102353874
macro avg,0.9550428528341753,0.9562322355435275,0.955502807839565,3781.0
weighted avg,0.9558384595055028,0.9555673102353874,0.9555772733959235,3781.0
