,precision,recall,f1-score,support
0,0.5809128630705395,0.6140350877192983,0.5970149253731344,228.0
1,0.62751677852349,0.5753846153846154,0.6003210272873194,325.0
2,0.7469879518072289,0.75,0.7484909456740443,248.0
3,0.7917888563049853,0.8132530120481928,0.8023774145616641,332.0
4,0.9879518072289156,0.9879518072289156,0.9879518072289156,332.0
5,0.5396039603960396,0.5767195767195767,0.557544757033248,189.0
6,0.9804560260586319,0.9495268138801262,0.9647435897435898,317.0
7,0.901840490797546,0.9130434782608695,0.9074074074074073,322.0
8,0.9367469879518072,0.9539877300613497,0.945288753799392,326.0
9,0.7361111111111112,0.7310344827586207,0.7335640138408304,290.0
10,0.6073825503355704,0.562111801242236,0.5838709677419355,322.0
11,0.9037656903765691,0.9515418502202643,0.927038626609442,227.0
12,0.7713414634146342,0.7832817337461301,0.7772657450076804,323.0
accuracy,0.7902671250991801,0.7902671250991801,0.7902671250991801,0.7902671250991801
macro avg,0.7778774259520821,0.7816824607130919,0.7794523062545079,3781.0
weighted avg,0.7893222350846036,0.7902671250991801,0.7894796108096921,3781.0
